Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2011-02-17,103.32,103.760002,102.95999900000001,103.360001,74.452049,2993500,CAT
2011-02-18,103.860001,105.860001,103.44999700000001,105.860001,76.252853,8745400,CAT
2011-02-22,104.860001,105.300003,101.529999,102.010002,73.47961400000001,8241900,CAT
2011-02-23,101.91000400000001,102.12999699999999,98.040001,100.019997,72.04619600000001,8907600,CAT
2011-02-24,99.93,101.91000400000001,98.769997,100.57,72.442375,6350900,CAT
2011-02-25,101.44999700000001,102.639999,101.139999,102,73.47238899999999,4623200,CAT
2011-02-28,102.720001,103.360001,101.529999,102.93,74.142326,4010800,CAT
2011-03-01,103.370003,103.639999,99.349998,99.860001,71.93092300000002,7283700,CAT
2011-03-02,99.849998,102.120003,99.43,100.970001,72.730476,5420000,CAT
2011-03-03,101.940002,104.43,101.919998,104.25,75.093132,7413400,CAT
2011-03-04,104.010002,104.199997,102.019997,103.040001,74.22152700000001,5677000,CAT
2011-03-07,103.419998,104.199997,101.050003,102.12999699999999,73.56606300000001,6002100,CAT
2011-03-08,101.889999,104.44999700000001,101.17999999999999,104.12999699999999,75.00669900000001,6165000,CAT
2011-03-09,103.589996,103.589996,101.800003,102.360001,73.731735,6402200,CAT
2011-03-10,100.550003,100.75,98.099998,98.389999,70.87206999999998,11824400,CAT
2011-03-11,97.739998,100.5,97.010002,100.019997,72.04619600000001,8172400,CAT
2011-03-14,102.589996,102.589996,100.389999,102.099998,73.54445600000001,7985500,CAT
2011-03-15,99.019997,101.37999699999999,98.550003,100.75,72.57203699999998,11762200,CAT
2011-03-16,101.699997,102.610001,99.040001,100.400002,72.319931,13046600,CAT
2011-03-17,101.889999,103.309998,101.279999,103.120003,74.279175,9854900,CAT
2011-03-18,104.989998,105.639999,104.660004,105.059998,75.676605,11512900,CAT
2011-03-21,106.900002,107.67999999999999,106.620003,107.589996,77.499008,7688600,CAT
2011-03-22,107.059998,107.48000300000001,106.029999,106.790001,76.92273699999998,7012000,CAT
2011-03-23,106.080002,107.699997,105.639999,106.760002,76.901138,7096400,CAT
2011-03-24,107.900002,108.900002,106.94999700000001,108.370003,78.060852,8360800,CAT
2011-03-25,108.75,110.15000199999999,108.699997,109.089996,78.57947499999999,7659000,CAT
2011-03-28,109.540001,110.489998,109.389999,109.400002,78.802765,5445700,CAT
2011-03-29,109.639999,110.790001,108.610001,110.540001,79.62394699999999,5767700,CAT
2011-03-30,111.70999900000001,111.720001,110.550003,111.529999,80.337051,5616900,CAT
2011-03-31,110.82,111.98000300000001,110.82,111.349998,80.207375,5168600,CAT
2011-04-01,112.089996,113.589996,111.800003,113.120003,81.482361,6092600,CAT
2011-04-04,113.75,113.93,112.529999,113.37999699999999,81.66962400000001,3883600,CAT
2011-04-05,112.970001,113.160004,111.91000400000001,112.309998,80.89887999999999,5338700,CAT
